Action: improve | review | Learn | conjugate | listen | compose | errors
Result: new | familiar | known | 0 | 0.5 | 1
sDay: sprintDay ; A/P: active | passive ; warning: starting row = 5 is fixed
ID	ACTION	RESULT	DURATION	SDAY	A/P
2879	verbs	1	4	3	a
3102	verbs	1	2	3	a
3095	verbs	1	80	3	p
2863	verbs	1	3	3	a
3041	verbs	1	2	3	a
2905	verbs	1	6	3	a
3062	verbs	1	2	3	a
3059	verbs	1	3	3	a
2942	verbs	1	4	3	p
2883	verbs	1	2	3	a
2933	verbs	1	2	3	p
2963	verbs	1	2	3	p
2906	verbs	1	1	3	a
2930	verbs	1	3	3	a
2956	verbs	1	1	3	p
2957	verbs	1	3	3	a
2955	verbs	1	1	3	p
2964	verbs	1	3	3	p
3099	verbs	1	1	3	a
3100	verbs	1	1	3	a
2928	verbs	1	1	3	a
2856	verbs	1	2	3	a
2948	verbs	1	2	3	a
2967	verbs	1	1	3	a
2847	verbs	1	1	3	p
3058	verbs	1	1	3	p
2939	verbs	1	2	3	a
2951	verbs	1	2	3	a
2977	verbs	1	2	3	p
2937	verbs	1	1	3	a
2904	verbs	1	1	3	a
2968	verbs	1	2	3	p
0	verbs	1	214	3	p
2943	verbs	1	3	3	a
2941	verbs	1	3	3	p
2957	verbs	1	2	3	a
2908	verbs	0	10	3	a
3100	verbs	1	2	3	p
3031	verbs	1	2	3	p
3035	verbs	1	5	3	p
3058	verbs	1	2	3	p
2951	verbs	1	2	3	p
3102	verbs	1	2	3	a
2928	verbs	1	2	3	a
3081	verbs	1	2	3	a
2950	verbs	1	2	3	a
2940	verbs	1	2	3	a
2965	verbs	1	2	3	a
3095	verbs	1	2	3	p
2968	verbs	1	2	3	p
2971	verbs	1	3	3	a
2953	verbs	1	2	3	p
2977	verbs	1	2	3	a
2907	verbs	1	2	3	a
3037	verbs	1	2	3	p
3101	verbs	0	6	3	a
2960	verbs	1	1	3	p
2931	verbs	1	1	3	a
2906	verbs	1	1	3	p
2882	verbs	1	1	3	p
2979	verbs	1	1	3	p
3033	verbs	1	1	3	p
3062	verbs	1	1	3	a
2930	verbs	1	2	3	p
2932	verbs	1	1	3	a
3041	verbs	1	2	3	p
2935	verbs	1	2	3	a
0	verbs	1	53	3	p
2945	verbs	1	5	3	P
3097	verbs	1	2	3	P
3100	verbs	1	3	3	P
2941	verbs	1	4	3	P
2966	verbs	1	2	3	P
3081	verbs	1	2	3	P
2905	verbs	1	3	3	P
2909	verbs	1	1	3	P
2928	verbs	1	2	3	P
2957	verbs	1	1	3	P
3058	verbs	1	1	3	P
2938	verbs	1	1	3	P
2964	verbs	1	1	3	P
2862	verbs	1	4	3	P
